C1,C2,C3
0.6921583036680792,0.0,0.596249501598897
0.2224050873954674,0.0,0.7856723005727995
-0.5960319916790696,0.0,0.9696786523720207
0.8628608605865227,0.0,0.5303121934152535
-0.023133778210385675,0.5,0.5343395068128521
1.0175500716182757,0.5,0.5841956125479787
0.7450603605253749,0.5,0.8403892762602521
-1.0935901484632944,0.0,0.6483282637803535
-0.5724990558715336,0.0,0.5215114131777686
0.3356383718317745,0.0,0.8169064187623902
0.6360595495280954,0.5,0.6363872630613797
0.22421330960500302,0.5,0.9956378472554676
-0.2657768519829331,0.0,0.6164854168524311
-0.5003831213850347,0.5,0.8370915271249031
-0.034282348024735974,0.5,0.9515918986497878
-0.33272419264475134,0.0,0.9131142519704569
0.1978151174526482,0.0,0.7891153092523174
-0.38370997626246506,0.0,0.6632331413999413
-0.3539506435208467,0.0,0.9824057190995813
-1.1595993367616668,0.0,0.6303927354116664
-0.4363450047843114,0.5,0.660372057698831
0.6630483934169045,0.5,0.9380684150611509
0.13469576553945894,0.0,0.581783148341569
0.04655345472556038,0.5,0.954310803703881
-0.2087392714864918,0.5,0.8043598389370669
-0.062285707747838856,0.0,0.7532887806041839
-0.18314504378541174,0.0,0.7027283868317687
0.5207108921001515,0.0,0.8395583767254019
0.20464632048395592,0.5,0.5264391335928473
0.06479854167944235,0.5,0.6089301615333589
0.013818195118068472,0.5,0.9268967141679916
-0.42069929592366595,0.5,0.9856599399168708
-0.31581423978633927,0.5,0.6903629095250251
-0.24402412683657784,0.0,0.853341291775242
-0.3556216187492428,0.5,0.7616116911778409
0.9315791554940855,0.0,0.7025033564393549
-0.502649225167772,0.5,0.505256178821576
-0.08493107648852381,0.5,0.59212205432686
-0.5204405169174181,0.5,0.619451390160258
-0.16990629111062758,0.5,0.6853605608236152
-0.24596670742104515,0.5,0.8161215763565611
0.5004338852848412,0.0,0.668814551677672
0.48686502041710417,0.0,0.5402936646964384
0.6697013117338656,0.5,0.9967165807020409
0.7232490741068377,0.0,0.7648215452917563
0.15984491421151367,0.0,0.6567371226535543
-0.08288465566968559,0.0,0.7080578534932758
-0.716871971438753,0.5,0.9229631589032975
-0.026811600142580334,0.5,0.5399564990081982
-0.4660289571491555,0.0,0.5594792796569705
0.3377382660011516,0.0,0.5566210464944701
0.48587558448453294,0.0,0.5860396649092038
0.41626834516678246,0.0,0.8377584627485376
0.12308118177013769,0.5,0.7513767801143774
-0.025365819246451104,0.0,0.6195470797687523
0.8066473112172208,0.0,0.8511301642075375
-0.16515670505086252,0.5,0.9308545560558426
-0.31593598379344306,0.0,0.9065922721981687
-0.2552422129067578,0.0,0.8955399337914718
-0.41712477891442185,0.5,0.8929303395342817
-0.41564188852973494,0.0,0.7194250344330837
0.2711670406645619,0.0,0.852818892817164
0.00815573114455623,0.5,0.6169072824334886
-0.832632469291086,0.0,0.8149396997350415
-0.028649159404282486,0.0,0.7541755405892476
0.48677554364982945,0.5,0.5130489692053647
-0.6747859195835147,0.5,0.6805398093328419
0.3585453775859129,0.5,0.6928811855825654
-0.26502102552511714,0.0,0.5109753285308268
-0.06485063793506633,0.5,0.5034491386146439
-0.06515877280399644,0.5,0.54428537216021
0.34661319311190264,0.5,0.9448262061232242
-0.370923154677686,0.0,0.971180342280819
-0.5197324576996538,0.5,0.951628739067554
0.4661293404556018,0.0,0.9985871588365688
0.7196203490613976,0.5,0.7401000718980744
-0.3152242261544729,0.0,0.7122302681785868
0.48243052339589276,0.0,0.5394018525322993
-0.282212517158612,0.5,0.7694260252554513
-0.3479382647577648,0.0,0.8300892495837455
-0.07838627609732574,0.0,0.6926286399537227
-0.010214470630790073,0.0,0.8721491010118854
0.012865354423280623,0.5,0.8399999794998155
-0.3114878827009358,0.0,0.8792512605687804
-0.15267012516329928,0.0,0.7818944942238699
-0.039457383254739055,0.0,0.9186381382673788
0.21303799611528582,0.0,0.8509603078583494
0.148807748133202,0.5,0.8500896796990587
0.09565828183338013,0.5,0.7715532296164181
-0.2471913429929649,0.0,0.616589871448571
0.715224962341361,0.5,0.592637594400437
0.8621412413717036,0.0,0.8402335152581853
-0.18287169034838807,0.0,0.9565924696876372
0.09090803685176546,0.5,0.5649610191930855
0.23881410053502022,0.5,0.605002240887173
-0.25037569503112417,0.5,0.7761673838679756
-0.04124040109193899,0.5,0.8395133840620483
-0.09786318140788967,0.0,0.5833699398958813
0.14400321217639148,0.0,0.7596341093436467
-0.028932927286652636,0.0,0.5319805688580892
